61;77;59;81;43
21;29;27;39;21
33;33;39;39;31
35;55;27;43;23
63;91;61;83;51
31;35;39;43;29
63;93;73;91;51
43;43;59;59;43
45;47;55;61;39
37;49;33;47;27
63;75;77;79;43
45;53;47;47;33
89;89;77;77;69
53;53;47;47;33
25;25;27;27;19
33;33;27;27;27
41;47;45;45;37
59;59;65;65;49
29;31;37;39;27
53;59;61;65;47
47;47;43;43;35
43;87;43;79;35
53;69;59;67;51
55;59;45;51;45
45;47;47;47;37
39;43;39;43;37
33;81;33;75;25
55;55;51;51;41
39;79;55;73;35
25;25;17;17;17
29;33;29;33;25
27;27;23;23;21
43;43;37;37;35
23;25;21;25;19
33;45;49;49;29
47;67;47;57;37
47;55;55;67;39
45;47;49;51;43
69;87;61;81;53
47;67;51;65;35
63;63;65;65;51
45;53;45;53;39
59;59;55;55;45
53;75;53;71;43
27;29;31;31;25
31;37;37;39;25
57;59;73;77;49
67;67;69;69;51
53;57;49;53;41
43;59;49;51;29
51;51;47;47;41
53;53;47;47;43
37;41;41;47;31
71;77;69;71;55
71;71;83;83;57
49;49;53;53;43
43;43;49;49;39
55;67;71;79;51
43;59;53;73;39
53;53;59;59;43
47;63;43;53;35
59;73;63;75;53
43;43;37;37;37
21;23;27;27;21
33;33;43;43;33
25;29;35;37;25
75;75;61;61;57
51;67;61;67;43
91;91;87;87;65
81;89;69;75;61
41;83;43;81;33
61;61;69;69;53
61;71;55;71;49
49;75;49;77;35
47;57;47;59;35
35;37;33;33;23
37;37;35;35;27
61;95;65;91;57
49;65;49;63;41
29;29;27;29;23
71;93;65;77;51
29;45;33;51;27
25;35;21;31;17
55;81;59;75;49
21;25;19;29;19
37;59;39;61;29
33;33;37;37;27
31;37;33;33;25
47;61;41;51;35
41;65;39;69;27
39;45;33;39;29
27;27;23;29;21
47;47;53;53;45
45;51;43;45;41
45;45;43;45;33
29;29;23;23;23
31;33;35;41;27
79;79;77;77;61
41;41;31;31;29
63;67;63;67;53
35;35;25;25;25
